Disease	Gene	Category
Multiple sclerosis	Rgcc	Neurological
Multiple sclerosis	Rgs1	Neurological
Multiple sclerosis	Rgs14	Neurological
Multiple sclerosis	Rgs21	Neurological
Multiple sclerosis	Rhoh	Neurological
Multiple sclerosis	Rmi2	Neurological
Multiple sclerosis	Rnasel	Neurological
Multiple sclerosis	Gm23815	Neurological
Multiple sclerosis	Rora	Neurological
Multiple sclerosis	Rpap2	Neurological
Multiple sclerosis	RPL5	Neurological
Multiple sclerosis	Rps6ka5	Neurological
Multiple sclerosis	Rps6kb1	Neurological
Multiple sclerosis	Rras2	Neurological
Multiple sclerosis	Rreb1	Neurological
Multiple sclerosis	Runx3	Neurological
Multiple sclerosis	S1pr1	Neurological
Multiple sclerosis	Sae1	Neurological
Multiple sclerosis	Samd12	Neurological
Multiple sclerosis	SATB1-AS1	Neurological
Multiple sclerosis	Scaf11	Neurological
Multiple sclerosis	Scamp2	Neurological
Multiple sclerosis	SETD1A	Neurological
Multiple sclerosis	Sfmbt1	Neurological
Multiple sclerosis	Sgcd	Neurological
Multiple sclerosis	Sgsm2	Neurological
Multiple sclerosis	Sh2b3	Neurological
Multiple sclerosis	Sh3bp2	Neurological
Multiple sclerosis	Sh3gl2	Neurological
Multiple sclerosis	Shmt1	Neurological
Multiple sclerosis	Sidt1	Neurological
Multiple sclerosis	Sla	Neurological
Multiple sclerosis	Slamf1	Neurological
Multiple sclerosis	Slamf7	Neurological
Multiple sclerosis	Slc15a2	Neurological
Multiple sclerosis	Slc25a36	Neurological
Multiple sclerosis	SLC2A4RG	Neurological
Multiple sclerosis	Slc30a7	Neurological
Multiple sclerosis	Slc44a2	Neurological
Multiple sclerosis	Slc6a16	Neurological
Multiple sclerosis	Slc7a10	Neurological
Multiple sclerosis	Slc7a6os	Neurological
Multiple sclerosis	Slc9a8	Neurological
Multiple sclerosis	Slc9b1	Neurological
Multiple sclerosis	Smarca4	Neurological
Multiple sclerosis	Smg6	Neurological
Multiple sclerosis	Socs1	Neurological
Multiple sclerosis	Sox8	Neurological
Multiple sclerosis	Sp100	Neurological
Multiple sclerosis	Spred2	Neurological
Multiple sclerosis	ST13P4	Neurological
Multiple sclerosis	Stat3	Neurological
Multiple sclerosis	Stat4	Neurological
Multiple sclerosis	Sumf1	Neurological
Multiple sclerosis	SVIL2P	Neurological
Multiple sclerosis	Syde2	Neurological
Multiple sclerosis	Syk	Neurological
Multiple sclerosis	Tagap1	Neurological
Multiple sclerosis	Tbx6	Neurological
Multiple sclerosis	Tcf7	Neurological
Multiple sclerosis	Tef	Neurological
Multiple sclerosis	Tert	Neurological
Multiple sclerosis	Tet2	Neurological
Multiple sclerosis	Tgfbr3	Neurological
Multiple sclerosis	Thada	Neurological
Multiple sclerosis	Themis	Neurological
Multiple sclerosis	Tll1	Neurological
Multiple sclerosis	TMEM244	Neurological
Multiple sclerosis	Tmem47	Neurological
Multiple sclerosis	Tnfaip3	Neurological
Multiple sclerosis	Tnfaip8	Neurological
Multiple sclerosis	Tnfrsf14	Neurological
Multiple sclerosis	Tnfrsf1a	Neurological
Multiple sclerosis	Tnfsf14	Neurological
Multiple sclerosis	Tnip2	Neurological
Multiple sclerosis	Tnip3	Neurological
Multiple sclerosis	Tnp2	Neurological
Multiple sclerosis	Tox2	Neurological
Multiple sclerosis	Traf3	Neurological
Multiple sclerosis	Treh	Neurological
Multiple sclerosis	Trim14	Neurological
Multiple sclerosis	Trim2	Neurological
Multiple sclerosis	Trim71	Neurological
Multiple sclerosis	Tsfm	Neurological
Multiple sclerosis	Ttc28	Neurological
Multiple sclerosis	Txk	Neurological
Multiple sclerosis	Tyk2	Neurological
Multiple sclerosis	Ubash3b	Neurological
Multiple sclerosis	Ube2e3	Neurological
Multiple sclerosis	Ubxn6	Neurological
Multiple sclerosis	Uck2	Neurological
Multiple sclerosis	Unk	Neurological
Multiple sclerosis	Vangl2	Neurological
Multiple sclerosis	Vav2	Neurological
Multiple sclerosis	Vcam1	Neurological
Multiple sclerosis	Vmp1	Neurological
Multiple sclerosis	Vti1a	Neurological
Multiple sclerosis	Wdr7	Neurological
Multiple sclerosis	Wwox	Neurological
Multiple sclerosis	Ywhag	Neurological
Multiple sclerosis	Zbtb38	Neurological
